last,first,pos,num,blocks,dz_block,nz_block,oz_block,p1_block,p2_block,p3_block,ot_block,5v5_block,ev_block,sh_block,pp_block,block_for_oi,block_for_oi_5v5,shot_blocked,dz_blocked,nz_blocked,oz_blocked,p1_blocked,p2_blocked,p3_blocked,ot_blocked,5v5_blocked,ev_blocked,sh_blocked,pp_blocked,block_against_oi,block_against_oi_5v5,block_wrist,block_slap,block_snap,block_back,block_deflect,block_tip,block_wrap,block_other,blocked_wrist,blocked_slap,blocked_snap,blocked_back,blocked_deflect,blocked_tip,blocked_wrap,blocked_other,g_block_5_5v5,b_block_5_5v5,g_block_10_5v5,b_block_10_5v5,g_block_5_ev,b_block_5_ev,g_block_10_ev,b_block_10_ev,g_block_5_pp,b_block_5_pp,g_block_10_pp,b_block_10_pp,g_block_5_sh,b_block_5_sh,g_block_10_sh,b_block_10_sh
WARSOFSKY,DAVID,D,47,13.0,13.0,0.0,0.0,4.0,6.0,3.0,0.0,13.0,13.0,0.0,0.0,35.0,32.0,10.0,0.0,0.0,10.0,4.0,3.0,3.0,0.0,7.0,7.0,0.0,3.0,37.0,26.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,12.0,1.0,12.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINDHOLM,HAMPUS,D,47,115.0,115.0,0.0,0.0,23.0,48.0,44.0,0.0,77.0,84.0,29.0,2.0,391.0,275.0,105.0,0.0,0.0,105.0,36.0,36.0,31.0,2.0,72.0,78.0,1.0,26.0,451.0,343.0,85.0,15.0,8.0,3.0,0.0,2.0,0.0,2.0,67.0,33.0,4.0,0.0,0.0,1.0,0.0,0.0,77.0,0.0,76.0,1.0,84.0,0.0,83.0,1.0,2.0,0.0,2.0,0.0,29.0,0.0,29.0,0.0
ODUYA,JOHNNY,D,47,172.0,171.0,0.0,1.0,58.0,54.0,58.0,2.0,128.0,133.0,39.0,0.0,451.0,331.0,76.0,0.0,0.0,76.0,25.0,29.0,22.0,0.0,74.0,76.0,0.0,0.0,363.0,338.0,113.0,36.0,14.0,6.0,0.0,3.0,0.0,0.0,33.0,34.0,8.0,1.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,0.0,133.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0,0.0
JORDAN,MICHAL,D,47,34.0,34.0,0.0,0.0,11.0,14.0,9.0,0.0,31.0,32.0,2.0,0.0,107.0,97.0,27.0,1.0,1.0,25.0,9.0,8.0,10.0,0.0,27.0,27.0,0.0,0.0,123.0,121.0,20.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,11.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
SCUDERI,ROB,D,47,10.0,10.0,0.0,0.0,4.0,3.0,3.0,0.0,8.0,9.0,1.0,0.0,43.0,41.0,5.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,0.0,35.0,33.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
KRUG,TOREY,D,47,94.0,91.0,1.0,2.0,27.0,29.0,34.0,4.0,73.0,82.0,7.0,5.0,349.0,306.0,149.0,1.0,0.0,148.0,48.0,48.0,52.0,1.0,90.0,97.0,0.0,52.0,498.0,314.0,64.0,13.0,10.0,3.0,4.0,0.0,0.0,0.0,65.0,52.0,27.0,0.0,5.0,0.0,0.0,0.0,72.0,1.0,72.0,1.0,81.0,1.0,81.0,1.0,5.0,0.0,5.0,0.0,7.0,0.0,7.0,0.0
BOGOSIAN,ZACH,D,47,98.0,98.0,0.0,0.0,36.0,29.0,31.0,2.0,82.0,88.0,7.0,3.0,325.0,269.0,58.0,1.0,0.0,57.0,21.0,23.0,13.0,1.0,45.0,50.0,0.0,8.0,272.0,219.0,70.0,8.0,13.0,5.0,0.0,2.0,0.0,0.0,22.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,82.0,0.0,88.0,0.0,88.0,0.0,2.0,1.0,2.0,1.0,7.0,0.0,7.0,0.0
BAERTSCHI,SVEN,L,47,36.0,35.0,1.0,0.0,14.0,12.0,10.0,0.0,34.0,35.0,0.0,1.0,188.0,179.0,37.0,0.0,0.0,37.0,10.0,13.0,13.0,1.0,27.0,28.0,0.0,9.0,210.0,170.0,22.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,21.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,34.0,0.0,34.0,0.0,35.0,0.0,35.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SESTITO,TOM,L,47,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VERMIN,JOEL,R,47,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,8.0,8.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,10.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
