last,first,pos,num,misses,dz_miss,nz_miss,oz_miss,p1_miss,p2_miss,p3_miss,ot_miss,5v5_miss,ev_miss,pp_miss,sh_miss,miss_for_oi,miss_for_oi_5v5,miss_against_oi,miss_against_oi_5v5,miss_wide,miss_over,miss_post,miss_wrist,miss_slap,miss_snap,miss_back,miss_deflect,miss_tip,miss_wrap,miss_other
JURCO,TOMAS,R,26,15.0,0.0,0.0,15.0,5.0,9.0,1.0,0.0,15.0,15.0,0.0,0.0,71.0,65.0,57.0,54.0,13.0,1.0,1.0,10.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0
GALCHENYUK,ALEX,C,27,82.0,0.0,0.0,82.0,25.0,28.0,24.0,5.0,50.0,59.0,23.0,0.0,333.0,232.0,224.0,192.0,65.0,10.0,7.0,45.0,7.0,12.0,5.0,1.0,12.0,0.0,0.0
LEE,ANDERS,C,27,57.0,0.0,1.0,56.0,24.0,13.0,20.0,0.0,46.0,48.0,9.0,0.0,270.0,193.0,192.0,179.0,46.0,10.0,1.0,18.0,3.0,6.0,7.0,3.0,20.0,0.0,0.0
LAZAR,CURTIS,C,27,33.0,0.0,0.0,33.0,7.0,17.0,9.0,0.0,30.0,30.0,2.0,1.0,149.0,130.0,214.0,172.0,28.0,3.0,2.0,19.0,2.0,3.0,5.0,2.0,2.0,0.0,0.0
BJUGSTAD,NICK,C,27,50.0,1.0,0.0,49.0,21.0,14.0,13.0,2.0,31.0,35.0,15.0,0.0,217.0,153.0,176.0,158.0,44.0,2.0,4.0,21.0,15.0,10.0,3.0,0.0,1.0,0.0,0.0
DALPE,ZAC,C,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLENDENING,ADAM,D,27,15.0,0.0,0.0,15.0,3.0,6.0,6.0,0.0,13.0,13.0,2.0,0.0,62.0,57.0,77.0,76.0,15.0,0.0,0.0,5.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0
MARTINEZ,ALEC,D,27,73.0,1.0,0.0,72.0,26.0,25.0,20.0,2.0,52.0,56.0,16.0,1.0,404.0,311.0,355.0,249.0,69.0,3.0,1.0,29.0,34.0,7.0,2.0,0.0,1.0,0.0,0.0
PIETRANGELO,ALEX,D,27,55.0,1.0,1.0,53.0,17.0,17.0,20.0,1.0,43.0,46.0,7.0,2.0,308.0,241.0,368.0,257.0,46.0,6.0,3.0,27.0,17.0,6.0,1.0,1.0,2.0,0.0,1.0
HUTTON,BEN,D,27,43.0,0.0,1.0,42.0,14.0,14.0,14.0,1.0,24.0,31.0,10.0,2.0,284.0,198.0,278.0,238.0,33.0,8.0,2.0,24.0,12.0,4.0,3.0,0.0,0.0,0.0,0.0
HAMILTON,DOUGIE,D,27,80.0,0.0,4.0,76.0,19.0,33.0,26.0,2.0,55.0,62.0,18.0,0.0,330.0,234.0,322.0,281.0,69.0,9.0,2.0,41.0,19.0,13.0,3.0,1.0,1.0,0.0,2.0
FAULK,JUSTIN,D,27,74.0,0.0,1.0,73.0,14.0,37.0,19.0,4.0,39.0,45.0,29.0,0.0,337.0,238.0,290.0,219.0,61.0,7.0,6.0,16.0,38.0,17.0,3.0,0.0,0.0,0.0,0.0
ALZNER,KARL,D,27,40.0,1.0,0.0,39.0,7.0,19.0,13.0,1.0,36.0,38.0,0.0,2.0,290.0,275.0,380.0,277.0,31.0,9.0,0.0,17.0,16.0,1.0,1.0,1.0,4.0,0.0,0.0
QUINCEY,KYLE,D,27,16.0,0.0,0.0,16.0,7.0,6.0,3.0,0.0,15.0,16.0,0.0,0.0,138.0,131.0,200.0,165.0,14.0,2.0,0.0,2.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0
MCDONAGH,RYAN,D,27,62.0,0.0,1.0,61.0,14.0,27.0,19.0,2.0,43.0,45.0,14.0,3.0,307.0,222.0,321.0,237.0,54.0,6.0,2.0,29.0,27.0,5.0,0.0,1.0,0.0,0.0,0.0
MURRAY,RYAN,D,27,34.0,2.0,0.0,32.0,5.0,11.0,16.0,2.0,18.0,22.0,12.0,0.0,319.0,228.0,372.0,279.0,31.0,3.0,0.0,11.0,11.0,11.0,0.0,1.0,0.0,0.0,0.0
MARTINSEN,ANDREAS,L,27,23.0,3.0,0.0,20.0,5.0,11.0,7.0,0.0,22.0,23.0,0.0,0.0,100.0,95.0,127.0,123.0,18.0,4.0,1.0,16.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0
DROUIN,JONATHAN,L,27,15.0,0.0,0.0,15.0,5.0,4.0,5.0,1.0,12.0,13.0,2.0,0.0,73.0,54.0,43.0,39.0,13.0,1.0,1.0,8.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0
EHLERS,NIKOLAJ,L,27,73.0,0.0,0.0,73.0,22.0,29.0,22.0,0.0,61.0,64.0,9.0,0.0,264.0,205.0,172.0,156.0,58.0,8.0,7.0,39.0,15.0,9.0,6.0,1.0,3.0,0.0,0.0
MOEN,TRAVIS,L,27,3.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,33.0,33.0,34.0,30.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
DONSKOI,JOONAS,R,27,45.0,1.0,0.0,44.0,13.0,11.0,15.0,6.0,35.0,42.0,3.0,0.0,226.0,184.0,164.0,152.0,37.0,5.0,3.0,15.0,4.0,3.0,9.0,2.0,12.0,0.0,0.0
MOORE,DOMINIC,C,28,26.0,0.0,3.0,23.0,10.0,7.0,9.0,0.0,22.0,25.0,0.0,1.0,143.0,131.0,255.0,177.0,23.0,0.0,3.0,12.0,6.0,3.0,1.0,0.0,4.0,0.0,0.0
