last,first,pos,num,hits,oz_hits,nz_hits,dz_hits,p1_hits,p2_hits,p3_hits,ot_hits,5v5_hits,ev_hits,pp_hits,sh_hits,hits_taken,oz_hits_t,nz_hits_t,dz_hits_t,p1_hits_t,p2_hits_t,p3_hits_t,ot_hits_t,5v5_hits_t,ev_hits_t,pp_hits_t,sh_hits_t,g_hit_5_5v5,b_hit_5_5v5,g_hit_10_5v5,b_hit_10_5v5,g_hit_5_ev,b_hit_5_ev,g_hit_10_ev,b_hit_10_ev,g_hit_5_pp,b_hit_5_pp,g_hit_10_pp,b_hit_10_pp,g_hit_5_sh,b_hit_5_sh,g_hit_10_sh,b_hit_10_sh
WEISE,DALE,R,22,108.0,84.0,3.0,21.0,39.0,30.0,38.0,1.0,101.0,103.0,5.0,0.0,110.0,27.0,1.0,82.0,38.0,36.0,36.0,0.0,101.0,103.0,7.0,0.0,101.0,0.0,101.0,0.0,103.0,0.0,103.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
CONDRA,ERIK,R,22,20.0,13.0,1.0,6.0,9.0,8.0,3.0,0.0,20.0,20.0,0.0,0.0,86.0,22.0,2.0,62.0,41.0,23.0,22.0,0.0,83.0,85.0,0.0,1.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOOTOO,JORDIN,R,22,99.0,77.0,4.0,18.0,40.0,33.0,26.0,0.0,99.0,99.0,0.0,0.0,60.0,16.0,2.0,42.0,28.0,13.0,19.0,0.0,57.0,57.0,3.0,0.0,99.0,0.0,98.0,1.0,99.0,0.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIEDERREITER,NINO,R,22,129.0,90.0,6.0,33.0,45.0,48.0,36.0,0.0,121.0,124.0,5.0,0.0,141.0,24.0,3.0,114.0,41.0,50.0,50.0,0.0,133.0,134.0,7.0,0.0,121.0,0.0,121.0,0.0,124.0,0.0,124.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
LAICH,BROOKS,C,23,43.0,32.0,3.0,8.0,20.0,14.0,9.0,0.0,43.0,43.0,0.0,0.0,29.0,7.0,1.0,21.0,18.0,6.0,5.0,0.0,26.0,26.0,3.0,0.0,43.0,0.0,43.0,0.0,43.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KELLY,CHRIS,C,23,13.0,12.0,0.0,1.0,7.0,4.0,2.0,0.0,13.0,13.0,0.0,0.0,15.0,2.0,2.0,11.0,4.0,7.0,4.0,0.0,12.0,12.0,0.0,3.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEGNA,JAYSON,C,23,6.0,5.0,0.0,1.0,3.0,1.0,2.0,0.0,6.0,6.0,0.0,0.0,10.0,4.0,1.0,5.0,5.0,2.0,3.0,0.0,8.0,8.0,2.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HENDRICKS,MATT,C,23,175.0,132.0,6.0,37.0,64.0,58.0,53.0,0.0,171.0,171.0,0.0,4.0,106.0,24.0,5.0,77.0,42.0,40.0,24.0,0.0,102.0,104.0,0.0,2.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
GRIMALDI,ROCCO,C,23,17.0,16.0,0.0,1.0,3.0,9.0,5.0,0.0,17.0,17.0,0.0,0.0,23.0,4.0,0.0,19.0,7.0,8.0,7.0,1.0,22.0,23.0,0.0,0.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REINHART,SAM,C,23,26.0,23.0,0.0,3.0,8.0,11.0,6.0,1.0,25.0,26.0,0.0,0.0,121.0,22.0,3.0,96.0,48.0,39.0,34.0,0.0,111.0,111.0,10.0,0.0,25.0,0.0,25.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOMEZ,SCOTT,C,23,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,1.0,1.0,5.0,2.0,2.0,3.0,0.0,7.0,7.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WILSON,SCOTT,C,23,38.0,25.0,0.0,13.0,18.0,10.0,10.0,0.0,38.0,38.0,0.0,0.0,48.0,10.0,0.0,38.0,14.0,17.0,17.0,0.0,47.0,47.0,1.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONAHAN,SEAN,C,23,38.0,30.0,1.0,7.0,11.0,14.0,13.0,0.0,32.0,33.0,4.0,1.0,37.0,12.0,1.0,24.0,20.0,8.0,8.0,1.0,28.0,29.0,8.0,0.0,32.0,0.0,32.0,0.0,33.0,0.0,33.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0
MATTHIAS,SHAWN,C,23,60.0,51.0,0.0,9.0,20.0,26.0,14.0,0.0,57.0,57.0,1.0,2.0,63.0,12.0,2.0,49.0,28.0,23.0,12.0,0.0,57.0,57.0,3.0,3.0,57.0,0.0,57.0,0.0,57.0,0.0,57.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0
SILL,ZACH,C,23,20.0,14.0,1.0,5.0,7.0,7.0,6.0,0.0,20.0,20.0,0.0,0.0,9.0,0.0,0.0,9.0,5.0,1.0,3.0,0.0,9.0,9.0,0.0,0.0,20.0,0.0,19.0,1.0,20.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDLER,ALEXANDER,D,23,84.0,68.0,3.0,13.0,29.0,30.0,22.0,3.0,65.0,68.0,6.0,10.0,107.0,17.0,1.0,89.0,37.0,36.0,32.0,2.0,97.0,103.0,2.0,2.0,64.0,1.0,64.0,1.0,67.0,1.0,67.0,1.0,6.0,0.0,6.0,0.0,10.0,0.0,10.0,0.0
MANNING,BRANDON,D,23,94.0,65.0,1.0,28.0,37.0,28.0,29.0,0.0,83.0,85.0,0.0,9.0,75.0,19.0,3.0,53.0,35.0,21.0,19.0,0.0,75.0,75.0,0.0,0.0,81.0,2.0,80.0,3.0,83.0,2.0,82.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0
LINDELL,ESA,D,23,4.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,4.0,0.0,0.0,11.0,2.0,1.0,8.0,7.0,1.0,3.0,0.0,10.0,10.0,0.0,1.0,2.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLOFSSON,GUSTAV,D,23,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EKMAN-LARSSON,OLIVER,D,23,154.0,122.0,3.0,29.0,61.0,47.0,44.0,2.0,129.0,138.0,11.0,5.0,143.0,26.0,0.0,117.0,46.0,53.0,44.0,0.0,129.0,131.0,9.0,3.0,129.0,0.0,129.0,0.0,138.0,0.0,138.0,0.0,11.0,0.0,11.0,0.0,5.0,0.0,5.0,0.0
MCGINN,BROCK,L,23,28.0,21.0,0.0,7.0,12.0,11.0,5.0,0.0,27.0,27.0,0.0,1.0,23.0,8.0,0.0,15.0,9.0,7.0,7.0,0.0,22.0,22.0,0.0,1.0,27.0,0.0,27.0,0.0,27.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
BROWN,DUSTIN,L,23,234.0,188.0,8.0,38.0,93.0,76.0,61.0,4.0,216.0,227.0,0.0,7.0,170.0,30.0,10.0,130.0,55.0,63.0,52.0,0.0,158.0,161.0,7.0,2.0,215.0,1.0,215.0,1.0,225.0,2.0,225.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
FARNHAM,BOBBY,R,23,83.0,63.0,2.0,18.0,37.0,31.0,15.0,0.0,82.0,83.0,0.0,0.0,77.0,16.0,1.0,60.0,30.0,29.0,18.0,0.0,77.0,77.0,0.0,0.0,82.0,0.0,82.0,0.0,83.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLARKSON,DAVID,R,23,45.0,32.0,0.0,13.0,24.0,11.0,10.0,0.0,44.0,44.0,1.0,0.0,23.0,3.0,0.0,20.0,11.0,8.0,4.0,0.0,23.0,23.0,0.0,0.0,44.0,0.0,44.0,0.0,44.0,0.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
JASKIN,DMITRIJ,R,23,126.0,97.0,5.0,24.0,43.0,41.0,42.0,0.0,122.0,124.0,2.0,0.0,93.0,16.0,1.0,76.0,38.0,32.0,23.0,0.0,92.0,92.0,1.0,0.0,122.0,0.0,122.0,0.0,124.0,0.0,124.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
BROWN,J.T.,R,23,103.0,82.0,2.0,19.0,37.0,36.0,29.0,1.0,94.0,96.0,0.0,7.0,133.0,20.0,2.0,111.0,46.0,35.0,52.0,0.0,125.0,126.0,0.0,7.0,94.0,0.0,94.0,0.0,96.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
MALONE,BRAD,C,24,124.0,101.0,4.0,19.0,54.0,36.0,34.0,0.0,117.0,117.0,0.0,7.0,66.0,14.0,1.0,51.0,21.0,30.0,15.0,0.0,65.0,65.0,0.0,1.0,117.0,0.0,117.0,0.0,117.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
CHIPCHURA,KYLE,C,24,73.0,62.0,2.0,9.0,36.0,18.0,19.0,0.0,73.0,73.0,0.0,0.0,87.0,26.0,0.0,61.0,34.0,29.0,24.0,0.0,84.0,84.0,0.0,3.0,73.0,0.0,73.0,0.0,73.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINDBERG,OSCAR,C,24,132.0,91.0,1.0,40.0,48.0,48.0,36.0,0.0,125.0,128.0,3.0,1.0,80.0,15.0,2.0,63.0,28.0,26.0,26.0,0.0,78.0,79.0,1.0,0.0,124.0,1.0,124.0,1.0,127.0,1.0,127.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0
HOLLAND,PETER,C,24,78.0,58.0,3.0,17.0,29.0,25.0,24.0,0.0,72.0,73.0,5.0,0.0,69.0,16.0,2.0,51.0,28.0,25.0,16.0,0.0,60.0,61.0,8.0,0.0,72.0,0.0,72.0,0.0,73.0,0.0,73.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
HUNT,BRAD,D,24,7.0,5.0,0.0,2.0,1.0,2.0,4.0,0.0,7.0,7.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
