last,first,pos,num,pens,oz_pen,nz_pen,dz_pen,nozone_pen,p1_pen,p2_pen,p3_pen,ot_pen,5v5_pen,ev_pen,pp_pen,sh_pen,pen_mins,min_pen,dblmin_pen,maj_pen,mis_pen,gamemis_pen,match_pen,ps_pen,pen_drawn,oz_pen_dr,nz_pen_dr,nozone_pen_dr,dz_pen_dr,p1_pen_dr,p2_pen_dr,p3_pen_dr,ot_pen_dr,5v5_pen_dr,ev_pen_dr,pp_pen_dr,sh_pen_dr,pen_min_dr,min_pen_dr,dblmin_pen_dr,maj_pen_dr,mis_pen_dr,gamemis_pen_dr,match_pen_dr,ps_pen_dr
LEHTERA,JORI,C,12,19.0,1.0,1.0,1.0,16.0,3.0,9.0,7.0,0.0,16.0,18.0,1.0,0.0,38.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,5.0,1.0,6.0,1.0,3.0,0.0,6.0,8.0,0.0,2.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
BAILEY,JOSH,C,12,11.0,0.0,1.0,2.0,8.0,4.0,5.0,2.0,0.0,10.0,11.0,0.0,0.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,9.0,0.0,4.0,5.0,1.0,0.0,7.0,9.0,0.0,1.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
FISHER,MIKE,C,12,13.0,1.0,2.0,1.0,9.0,5.0,3.0,5.0,0.0,10.0,11.0,2.0,0.0,29.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,3.0,3.0,2.0,0.0,3.0,6.0,0.0,2.0,19.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
MARLEAU,PATRICK,C,12,5.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,3.0,4.0,0.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,9.0,0.0,1.0,6.0,3.0,0.0,6.0,9.0,1.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0
FAKSA,RADEK,C,12,8.0,2.0,1.0,1.0,4.0,1.0,6.0,1.0,0.0,5.0,8.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,7.0,2.0,6.0,3.0,2.0,0.0,7.0,11.0,0.0,0.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
BOUCHER,REID,C,12,3.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,2.0,1.0,3.0,0.0,3.0,0.0,5.0,6.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
KLINKHAMMER,ROB,C,12,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
LOVEJOY,BEN,D,12,18.0,2.0,2.0,1.0,13.0,4.0,7.0,7.0,0.0,15.0,18.0,0.0,0.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,6.0,6.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
PAILLE,DANIEL,L,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
RAFFL,MICHAEL,L,12,14.0,0.0,4.0,2.0,8.0,6.0,4.0,4.0,0.0,10.0,14.0,0.0,0.0,30.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,2.0,13.0,0.0,9.0,6.0,3.0,0.0,15.0,18.0,0.0,0.0,36.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
