last,first,pos,num,takeaways,oz_take,nz_take,dz_take,p1_take,p2_take,p3_take,ot_take,5v5_take,ev_take,pp_take,sh_take
LIPON,JC,R,46,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
BLUNDEN,MIKE,R,46,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
SISLO,MIKE,R,46,3.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0
LINDBERG,TOBIAS,R,46,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0
BERTSCHY,CHRISTOPH,C,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOMAROV,LEO,C,47,42.0,21.0,4.0,17.0,12.0,17.0,12.0,1.0,34.0,36.0,2.0,4.0
GRANT,ALEX,D,47,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
MARCHENKO,ALEXEY,D,47,7.0,0.0,1.0,6.0,3.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0
MACDONALD,ANDREW,D,47,4.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,3.0,4.0,0.0,0.0
PROUT,DALTON,D,47,7.0,0.0,2.0,5.0,1.0,1.0,5.0,0.0,6.0,6.0,0.0,1.0
WARSOFSKY,DAVID,D,47,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
LINDHOLM,HAMPUS,D,47,18.0,4.0,2.0,12.0,6.0,6.0,5.0,1.0,15.0,16.0,0.0,2.0
ODUYA,JOHNNY,D,47,23.0,0.0,3.0,20.0,5.0,8.0,10.0,0.0,20.0,21.0,0.0,2.0
JORDAN,MICHAL,D,47,6.0,1.0,3.0,2.0,2.0,3.0,1.0,0.0,4.0,4.0,0.0,2.0
SCUDERI,ROB,D,47,3.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0
KRUG,TOREY,D,47,20.0,2.0,4.0,14.0,4.0,11.0,4.0,1.0,15.0,17.0,3.0,0.0
BOGOSIAN,ZACH,D,47,17.0,3.0,3.0,11.0,6.0,5.0,6.0,0.0,13.0,13.0,1.0,3.0
BAERTSCHI,SVEN,L,47,26.0,7.0,9.0,10.0,10.0,7.0,9.0,0.0,24.0,25.0,1.0,0.0
SESTITO,TOM,L,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VERMIN,JOEL,R,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUTTER,BRODY,C,48,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
SHINKARUK,HUNTER,C,48,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
HERTL,TOMAS,C,48,35.0,11.0,12.0,12.0,18.0,6.0,10.0,1.0,30.0,34.0,0.0,1.0
